red,green,blue,off,position,color
724,304,737,0,8,red
707,162,515,0,9,red
677,269,564,11,10,red
520,162,437,64,11,red
527,226,577,2,12,green
518,193,564,2,13,green
383,119,497,13,14,green
596,191,580,34,15,green
648,99,534,3,0,yellow
672,192,662,5,1,yellow
677,120,598,16,2,yellow
749,338,722,28,3,yellow
446,367,306,126,4,blue
580,450,396,20,5,blue
522,278,188,3,6,blue
589,390,322,4,7,blue
726,304,737,0,8,red
707,164,515,0,9,red
676,269,563,12,10,red
520,162,437,64,11,red
530,227,579,1,12,green
513,189,560,7,13,green
384,118,497,13,14,green
596,189,580,35,15,green
647,99,534,3,0,yellow
671,192,662,5,1,yellow
676,120,598,16,2,yellow
750,338,722,27,3,yellow
447,367,306,126,4,blue
580,448,394,21,5,blue
521,278,186,4,6,blue
592,393,325,1,7,blue
725,304,737,0,8,red
705,160,513,2,9,red
677,268,563,12,10,red
520,161,437,64,11,red
529,226,578,2,12,green
516,191,562,4,13,green
385,120,498,12,14,green
596,191,579,35,15,green
649,100,536,1,0,yellow
672,191,660,6,1,yellow
678,122,598,15,2,yellow
753,340,723,26,3,yellow
447,367,305,126,4,blue
580,450,395,20,5,blue
520,277,184,5,6,blue
591,392,323,2,7,blue
725,304,737,0,8,red
706,163,515,0,9,red
676,268,563,12,10,red
519,160,435,65,11,red
527,225,576,3,12,green
515,191,562,4,13,green
380,118,493,16,14,green
597,192,581,33,15,green
649,102,536,1,0,yellow
671,193,661,6,1,yellow
678,121,599,15,2,yellow
753,341,725,25,3,yellow
446,366,304,127,4,blue
577,447,392,23,5,blue
521,279,186,3,6,blue
590,392,323,2,7,blue
725,304,735,0,8,red
707,163,514,0,9,red
675,267,561,13,10,red
520,162,436,64,11,red
529,227,578,1,12,green
516,191,563,4,13,green
383,119,497,13,14,green
596,191,580,34,15,green
647,100,533,2,0,yellow
675,191,663,6,1,yellow
674,122,598,15,2,yellow
753,340,724,25,3,yellow
448,366,305,126,4,blue
576,445,388,24,5,blue
526,274,185,3,6,blue
592,397,326,2,7,blue
727,292,740,0,8,red
706,159,520,0,9,red
680,269,562,11,10,red
514,165,427,66,11,red
538,230,575,2,12,green
516,193,564,4,13,green
379,121,497,14,14,green
593,191,580,34,15,green
648,101,535,1,0,yellow
676,190,665,5,1,yellow
674,120,598,15,2,yellow
753,339,722,26,3,yellow
447,366,305,126,4,blue
579,448,391,21,5,blue
527,275,185,2,6,blue
593,397,326,2,7,blue
728,290,738,0,8,red
706,161,520,0,9,red
677,269,560,13,10,red
516,169,430,63,11,red
538,229,575,2,12,green
513,189,562,7,13,green
381,120,499,12,14,green
595,189,581,33,15,green
644,97,531,5,0,yellow
674,190,664,6,1,yellow
672,121,597,16,2,yellow
751,338,723,27,3,yellow
447,367,306,125,4,blue
580,449,393,20,5,blue
526,274,187,3,6,blue
592,398,326,2,7,blue
727,292,741,0,8,red
705,161,520,0,9,red
679,269,561,11,10,red
516,167,429,64,11,red
539,230,576,1,12,green
516,192,565,4,13,green
380,119,498,13,14,green
595,190,581,33,15,green
647,100,533,2,0,yellow
676,191,665,4,1,yellow
674,120,596,15,2,yellow
753,339,722,26,3,yellow
447,366,305,126,4,blue
580,448,392,21,5,blue
524,273,185,4,6,blue
594,399,327,0,7,blue
728,290,740,0,8,red
704,159,519,1,9,red
677,267,561,12,10,red
513,166,428,65,11,red
537,227,574,3,12,green
515,191,564,4,13,green
379,119,498,13,14,green
591,187,578,36,15,green
647,100,533,2,0,yellow
673,189,661,8,1,yellow
674,123,597,15,2,yellow
752,339,723,26,3,yellow
446,365,304,127,4,blue
577,446,389,23,5,blue
525,274,186,3,6,blue
593,398,326,1,7,blue
726,291,739,0,8,red
704,159,520,0,9,red
679,269,562,11,10,red
513,165,427,66,11,red
539,230,576,1,12,green
515,193,565,4,13,green
378,120,497,14,14,green
592,188,579,35,15,green
647,101,533,2,0,yellow
675,190,664,6,1,yellow
674,122,598,15,2,yellow
752,338,722,27,3,yellow
446,365,304,127,4,blue
579,448,392,21,5,blue
527,275,187,2,6,blue
592,397,326,2,7,blue
729,291,738,0,8,red
706,161,519,0,9,red
676,266,558,15,10,red
515,167,429,64,11,red
540,228,576,1,12,green
514,190,563,6,13,green
380,120,499,12,14,green
594,190,580,34,15,green
646,98,533,3,0,yellow
673,190,665,6,1,yellow
672,120,595,17,2,yellow
751,338,722,27,3,yellow
447,366,305,126,4,blue
580,449,393,20,5,blue
527,275,187,2,6,blue
591,396,325,3,7,blue
729,291,741,0,8,red
706,160,520,0,9,red
679,268,561,12,10,red
515,167,429,64,11,red
539,229,575,2,12,green
515,192,564,5,13,green
380,119,498,13,14,green
594,190,580,33,15,green
647,100,534,2,0,yellow
673,189,661,7,1,yellow
673,120,597,16,2,yellow
753,340,724,25,3,yellow
447,366,305,126,4,blue
580,449,392,20,5,blue
526,274,185,3,6,blue
593,398,327,1,7,blue
729,290,740,0,8,red
706,159,520,0,9,red
678,270,562,11,10,red
516,168,430,63,11,red
538,227,575,2,12,green
516,192,564,4,13,green
379,121,497,13,14,green
591,188,577,37,15,green
648,101,534,1,0,yellow
